OCRE,Side,Legend
ric.2.tr.482_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.482_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.482_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.483_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.483_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.483_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.483_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.484,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.484,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.485,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.485,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.486_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.486_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.486_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.486_as,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.487,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.487,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.488,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.488,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.489_sestertius,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.489_sestertius,reverse,S P Q R OPTIMO PRINCIPI S C
ric.2.tr.489_as,obverse,IMP CAES NERVAE TRAIANO AVG GER DAC P M TR P COS V P P
ric.2.tr.489_as,reverse,S P Q R OPTIMO PRINCIPI S C
